commune,code_commune,code_postal,type_local,surface_m2,pieces,valeur_fonciere,prix_m2,date_mutation
Bouguenais,44020,44340,Maison,109.0,5.0,280000.0,2568.81,2023-06-23
Bouguenais,44020,44340,Maison,110.0,4.0,343000.0,3118.18,2023-06-28
Bouguenais,44020,44340,Maison,111.0,5.0,320000.0,2882.88,2023-09-05
Bouguenais,44020,44340,Maison,112.0,4.0,352000.0,3142.86,2023-04-05
Bouguenais,44020,44340,Maison,114.0,6.0,415000.0,3640.35,2023-01-13
Bouguenais,44020,44340,Maison,114.0,6.0,383000.0,3359.65,2023-05-09
Bouguenais,44020,44340,Maison,115.0,5.0,353000.0,3069.57,2023-06-29
Bouguenais,44020,44340,Maison,117.0,7.0,90000.0,769.23,2023-10-11
Bouguenais,44020,44340,Maison,119.0,7.0,376000.0,3159.66,2023-03-16
Bouguenais,44020,44340,Maison,120.0,6.0,408875.0,3407.29,2023-03-15
Bouguenais,44020,44340,Maison,120.0,6.0,339000.0,2825.0,2023-05-02
Bouguenais,44020,44340,Maison,120.0,5.0,360000.0,3000.0,2023-06-09
Bouguenais,44020,44340,Maison,120.0,5.0,366000.0,3050.0,2023-08-30
Bouguenais,44020,44340,Maison,120.0,5.0,250000.0,2083.33,2023-12-28
Bouguenais,44020,44340,Maison,122.0,5.0,370000.0,3032.79,2023-04-20
Bouguenais,44020,44340,Maison,124.0,4.0,290000.0,2338.71,2023-12-04
Bouguenais,44020,44340,Maison,129.0,6.0,365000.0,2829.46,2023-09-21
Bouguenais,44020,44340,Maison,130.0,4.0,490000.0,3769.23,2023-02-17
Bouguenais,44020,44340,Maison,130.0,4.0,490000.0,3769.23,2023-02-17
Bouguenais,44020,44340,Maison,130.0,5.0,180000.0,1384.62,2023-03-01
Bouguenais,44020,44340,Maison,130.0,5.0,800000.0,6153.85,2023-05-30
Bouguenais,44020,44340,Maison,130.0,5.0,430000.0,3307.69,2023-06-01
Bouguenais,44020,44340,Maison,130.0,5.0,500000.0,3846.15,2023-08-04
Bouguenais,44020,44340,Maison,131.0,5.0,439000.0,3351.15,2023-08-28
Bouguenais,44020,44340,Maison,132.0,5.0,299000.0,2265.15,2023-07-24
Bouguenais,44020,44340,Maison,133.0,4.0,558000.0,4195.49,2023-10-30
Bouguenais,44020,44340,Maison,136.0,5.0,340000.0,2500.0,2023-11-20
Bouguenais,44020,44340,Maison,139.0,4.0,286000.0,2057.55,2023-10-11
Bouguenais,44020,44340,Maison,142.0,5.0,520000.0,3661.97,2023-06-07
Bouguenais,44020,44340,Maison,142.0,4.0,440000.0,3098.59,2023-09-07
Bouguenais,44020,44340,Maison,147.0,6.0,512500.0,3486.39,2023-03-02
Bouguenais,44020,44340,Maison,147.0,5.0,600000.0,4081.63,2023-09-01
Bouguenais,44020,44340,Maison,147.0,4.0,345000.0,2346.94,2023-12-15
Bouguenais,44020,44340,Maison,149.0,4.0,360000.0,2416.11,2023-01-26
Bouguenais,44020,44340,Maison,155.0,4.0,395000.0,2548.39,2023-07-07
